               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.078815,            0.023399,            0.033005,             0.32054,             0.30395,             0.22612,            0.082292,            0.062743,            0.012822,            0.018175,            0.070036,           0.0033294,           0.0033294
                   1,            0.062181,            0.020505,            0.018349,             0.41487,              0.3658,             0.32979,             0.13285,             0.05741,            0.012707,            0.014632,            0.037837,            0.004464,            0.004464
                   2,            0.058099,            0.020087,            0.016268,             0.42209,             0.37825,             0.34361,             0.14328,            0.055687,            0.012417,            0.013766,           0.0034383,           0.0033987,           0.0033987
